Formulation,n,r_min,r_max,Instance,Status,Gap,Time,Cuts
ABF-D,10,0.8,1.2,2,Optimal,0.0,20.66,3312
ABF-D,10,0.8,1.2,3,Optimal,0.0,35.58,4612
ABF-D,10,0.8,1.2,4,Optimal,0.0,1.35,184
ABF-D,10,0.5,1.5,0,Optimal,0.0,83.49,8690
ABF-D,10,0.5,1.5,1,Optimal,0.0,26.86,3832
ABF-D,10,0.5,1.5,2,Optimal,0.0,7.38,1298
ABF-D,10,0.5,1.5,3,Optimal,0.0,36.56,4724
ABF-D,10,0.5,1.5,4,Optimal,0.0,1.29,184
ABF-A,10,0.25,0.25,0,Optimal,0.00352943,1.32,0
ABF-A,10,0.25,0.25,1,Optimal,0.01338821,0.72,0
ABF-A,10,0.25,0.25,2,Optimal,0.00604763,0.95,0
ABF-A,10,0.25,0.25,3,Optimal,0.00790046,1.03,0
ABF-A,10,0.25,0.25,4,Optimal,0.00946703,0.58,0
ABF-A,10,0.2,0.3,0,Optimal,0.00399773,1.3,0
ABF-A,10,0.2,0.3,1,Optimal,0.01391649,0.76,0
ABF-A,10,0.2,0.3,2,Optimal,0.00523721,0.86,0
ABF-A,10,0.2,0.3,3,Optimal,0.00829456,0.79,0
ABF-A,10,0.2,0.3,4,Optimal,0.00963698,0.57,0
ABF-A,10,0.125,0.375,0,Optimal,0.00503374,1.93,0
ABF-A,10,0.125,0.375,1,Optimal,0.01425434,0.79,0
ABF-A,10,0.125,0.375,2,Optimal,0.00370785,0.88,0
ABF-A,10,0.125,0.375,3,Optimal,0.00914981,0.84,0
ABF-A,10,0.125,0.375,4,Optimal,0.0104241,0.58,0
ABF-A,10,0.5,0.5,0,Optimal,0.00750779,4.35,0
ABF-A,10,0.5,0.5,1,Optimal,0.01602385,2.61,0
ABF-A,10,0.5,0.5,2,Optimal,0.007263,2.7,0
ABF-A,10,0.5,0.5,3,Optimal,0.01088871,4.28,0
ABF-A,10,0.5,0.5,4,Optimal,0.00667213,1.39,0
ABF-A,10,0.4,0.6,0,Optimal,0.01090767,5.33,0
ABF-A,10,0.4,0.6,1,Optimal,0.01658969,2.86,0
ABF-A,10,0.4,0.6,2,Optimal,0.00649008,2.77,0
ABF-A,10,0.4,0.6,3,Optimal,0.0111802,4.27,0
ABF-A,10,0.4,0.6,4,Optimal,0.00761373,1.32,0
ABF-A,10,0.25,0.75,0,Optimal,0.00894217,4.45,0
ABF-A,10,0.25,0.75,1,Optimal,0.01371034,2.43,0
ABF-A,10,0.25,0.75,2,Optimal,0.0056248,1.75,0
ABF-A,10,0.25,0.75,3,Optimal,0.00960464,4.71,0
ABF-A,10,0.25,0.75,4,Optimal,0.00999975,1.14,0
ABF-A,10,1.0,1.0,0,Optimal,0.00983248,10.38,0
ABF-A,10,1.0,1.0,1,Optimal,0.01089033,14.17,0
ABF-A,10,1.0,1.0,2,Optimal,0.01002932,8.32,0
ABF-A,10,1.0,1.0,3,Optimal,0.00583747,13.36,0
ABF-A,10,1.0,1.0,4,Optimal,0.00814944,2.82,0
ABF-A,10,0.8,1.2,0,Optimal,0.01260778,10.5,0
ABF-A,10,0.8,1.2,1,Optimal,0.01368425,12.84,0
ABF-A,10,0.8,1.2,2,Optimal,0.0080159,9.39,0
ABF-A,10,0.8,1.2,3,Optimal,0.00487059,15.35,0
ABF-A,10,0.8,1.2,4,Optimal,0.00879629,2.37,0
ABF-A,10,0.5,1.5,0,Optimal,0.0144059,13.51,0
ABF-A,10,0.5,1.5,1,Optimal,0.01296985,11.16,0
ABF-A,10,0.5,1.5,2,Optimal,0.00961346,6.06,0
ABF-A,10,0.5,1.5,3,Optimal,0.00595741,14.22,0
ABF-A,10,0.5,1.5,4,Optimal,0.00806849,2.33,0
ABF-A-D,10,0.25,0.25,0,Optimal,0.0,2.43,138
ABF-A-D,10,0.25,0.25,1,Optimal,0.0,1.12,38
ABF-A-D,10,0.25,0.25,2,Optimal,0.0,0.98,32
ABF-A-D,10,0.25,0.25,3,Optimal,0.0,1.1,30
ABF-A-D,10,0.25,0.25,4,Optimal,0.0,0.47,10
ABF-A-D,10,0.2,0.3,0,Optimal,0.0,2.05,60
ABF-A-D,10,0.2,0.3,1,Optimal,0.0,1.05,10
ABF-A-D,10,0.2,0.3,2,Optimal,0.0,0.8,10
ABF-A-D,10,0.2,0.3,3,Optimal,0.0,1.25,34
ABF-A-D,10,0.2,0.3,4,Optimal,0.0,0.48,10
ABF-A-D,10,0.125,0.375,0,Optimal,0.0,2.75,94
ABF-A-D,10,0.125,0.375,1,Optimal,0.0,1.02,34
ABF-A-D,10,0.125,0.375,2,Optimal,0.0,0.59,12
ABF-A-D,10,0.125,0.375,3,Optimal,0.0,0.97,18
ABF-A-D,10,0.125,0.375,4,Optimal,0.0,0.38,8
ABF-A-D,10,0.5,0.5,0,Optimal,0.0,6.2,26
ABF-A-D,10,0.5,0.5,1,Optimal,0.0,3.6,48
ABF-A-D,10,0.5,0.5,2,Optimal,0.0,3.13,14
ABF-A-D,10,0.5,0.5,3,Optimal,0.0,6.77,272
ABF-A-D,10,0.5,0.5,4,Optimal,0.0,1.12,12
ABF-A-D,10,0.4,0.6,0,Optimal,0.0,5.86,24
ABF-A-D,10,0.4,0.6,1,Optimal,0.0,5.16,106
ABF-A-D,10,0.4,0.6,2,Optimal,0.0,1.85,28
ABF-A-D,10,0.4,0.6,3,Optimal,0.0,5.32,50
ABF-A-D,10,0.4,0.6,4,Optimal,0.0,1.08,10
ABF-A-D,10,0.25,0.75,0,Optimal,0.0,7.52,88
ABF-A-D,10,0.25,0.75,1,Optimal,0.0,3.42,10
ABF-A-D,10,0.25,0.75,2,Optimal,0.0,1.42,12
ABF-A-D,10,0.25,0.75,3,Optimal,0.0,4.41,76
ABF-A-D,10,0.25,0.75,4,Optimal,0.0,1.2,10
ABF-A-D,10,1.0,1.0,0,Optimal,0.0,14.71,72
ABF-A-D,10,1.0,1.0,1,Optimal,0.0,14.33,24
ABF-A-D,10,1.0,1.0,2,Optimal,0.0,11.16,116
ABF-A-D,10,1.0,1.0,3,Optimal,0.0,14.79,92
ABF-A-D,10,1.0,1.0,4,Optimal,0.0,4.6,276
ABF-A-D,10,0.8,1.2,0,Optimal,0.0,13.3,82
ABF-A-D,10,0.8,1.2,1,Optimal,0.0,14.71,30
ABF-A-D,10,0.8,1.2,2,Optimal,0.0,9.5,58
ABF-A-D,10,0.8,1.2,3,Optimal,0.0,16.38,76
ABF-A-D,10,0.8,1.2,4,Optimal,0.0,1.86,12
ABF-A-D,10,0.5,1.5,0,Optimal,0.0,16.97,84
ABF-A-D,10,0.5,1.5,1,Optimal,0.0,11.76,18
ABF-A-D,10,0.5,1.5,2,Optimal,0.0,6.16,32
ABF-A-D,10,0.5,1.5,3,Optimal,0.0,16.03,22
ABF-A-D,10,0.5,1.5,4,Optimal,0.0,2.99,12
SBF,10,0.25,0.25,0,Optimal,7.686e-05,48.57,0
SBF,10,0.25,0.25,1,Optimal,2.423e-05,52.67,0
SBF,10,0.25,0.25,2,Optimal,3.029e-05,49.23,0
SBF,10,0.25,0.25,3,Optimal,0.0,47.2,0
SBF,10,0.25,0.25,4,Optimal,0.0,44.34,0
SBF,10,0.2,0.3,0,Optimal,2.267e-05,36.12,0
SBF,10,0.2,0.3,1,Optimal,1.961e-05,68.45,0
SBF,10,0.2,0.3,2,Optimal,0.0,45.93,0
SBF,10,0.2,0.3,3,Optimal,0.0,39.75,0
SBF,10,0.2,0.3,4,Optimal,9.387e-05,52.62,0
SBF,10,0.125,0.375,0,Time_limit,0.65013636,600.2,0
SBF,10,0.125,0.375,1,Optimal,9.62e-06,62.29,0
SBF,10,0.125,0.375,2,Optimal,3.164e-05,48.61,0
SBF,10,0.125,0.375,3,Optimal,0.0,46.15,0
SBF,10,0.125,0.375,4,Optimal,0.0,52.2,0
SBF,10,0.5,0.5,0,Optimal,0.0,58.87,0
SBF,10,0.5,0.5,1,Optimal,5.226e-05,53.46,0
SBF,10,0.5,0.5,2,Optimal,0.0,36.83,0
SBF,10,0.5,0.5,3,Optimal,0.0,50.12,0
SBF,10,0.5,0.5,4,Time_limit,0.52076796,600.34,0
SBF,10,0.4,0.6,0,Optimal,5.474e-05,26.64,0
SBF,10,0.4,0.6,1,Optimal,2.088e-05,28.3,0
SBF,10,0.4,0.6,2,Optimal,0.0,46.37,0
SBF,10,0.4,0.6,3,Optimal,0.0,58.0,0
SBF,10,0.4,0.6,4,Optimal,0.0,33.9,0
SBF,10,0.25,0.75,0,Optimal,7.214e-05,34.24,0
SBF,10,0.25,0.75,1,Optimal,4.139e-05,45.3,0
SBF,10,0.25,0.75,2,Optimal,0.0,49.57,0
SBF,10,0.25,0.75,3,Optimal,0.0,41.11,0
SBF,10,0.25,0.75,4,Optimal,0.0,29.97,0
SBF,10,1.0,1.0,0,Optimal,0.0,25.57,0
SBF,10,1.0,1.0,1,Optimal,0.0,30.05,0
SBF,10,1.0,1.0,2,Optimal,0.0,48.73,0
SBF,10,1.0,1.0,3,Optimal,6.84e-05,27.77,0
SBF,10,1.0,1.0,4,Optimal,0.0,188.53,0
SBF,10,0.8,1.2,0,Optimal,0.0,64.23,0
SBF,10,0.8,1.2,1,Optimal,7.188e-05,44.79,0
SBF,10,0.8,1.2,2,Optimal,0.0,41.92,0
SBF,10,0.8,1.2,3,Optimal,0.0,41.24,0
SBF,10,0.8,1.2,4,Optimal,0.0,9.45,0
SBF,10,0.5,1.5,0,Optimal,1.088e-05,29.34,0
SBF,10,0.5,1.5,1,Optimal,0.0,53.53,0
SBF,10,0.5,1.5,2,Optimal,0.0,40.63,0
SBF,10,0.5,1.5,3,Optimal,6.208e-05,48.64,0
SBF,10,0.5,1.5,4,Optimal,0.0,9.1,0
SBF-D-enum,10,0.25,0.25,0,Optimal,0.0,34.91,1414
SBF-D-enum,10,0.25,0.25,1,Optimal,0.0,151.01,2767
SBF-D-enum,10,0.25,0.25,2,Optimal,0.0,40.13,1395
SBF-D-enum,10,0.25,0.25,3,Optimal,0.0,27.55,1045
SBF-D-enum,10,0.25,0.25,4,Optimal,0.0,25.65,1049
SBF-D-enum,10,0.2,0.3,0,Optimal,0.0,30.77,1447
SBF-D-enum,10,0.2,0.3,1,Optimal,0.0,199.54,3396
SBF-D-enum,10,0.2,0.3,2,Optimal,0.0,21.38,773
SBF-D-enum,10,0.2,0.3,3,Optimal,0.0,19.22,715
SBF-D-enum,10,0.2,0.3,4,Optimal,0.0,26.47,1127
SBF-D-enum,10,0.125,0.375,0,Optimal,0.0,31.82,1373
SBF-D-enum,10,0.125,0.375,1,Optimal,0.0,156.89,3126
SBF-D-enum,10,0.125,0.375,2,Optimal,0.0,28.81,853
SBF-D-enum,10,0.125,0.375,3,Optimal,0.0,14.58,623
SBF-D-enum,10,0.125,0.375,4,Optimal,0.0,27.51,1131
SBF-D-enum,10,0.5,0.5,0,Optimal,0.0,25.11,1171
SBF-D-enum,10,0.5,0.5,1,Optimal,0.0,184.18,2865
SBF-D-enum,10,0.5,0.5,2,Optimal,0.0,30.1,998
SBF-D-enum,10,0.5,0.5,3,Optimal,0.0,29.59,1223
SBF-D-enum,10,0.5,0.5,4,Optimal,0.0,17.44,760
SBF-D-enum,10,0.4,0.6,0,Optimal,0.0,37.01,1556
SBF-D-enum,10,0.4,0.6,1,Optimal,0.0,202.42,3129
SBF-D-enum,10,0.4,0.6,2,Optimal,0.0,44.24,1204
SBF-D-enum,10,0.4,0.6,3,Optimal,0.0,18.12,843
SBF-D-enum,10,0.4,0.6,4,Optimal,0.0,45.49,1734
SBF-D-enum,10,0.25,0.75,0,Optimal,0.0,35.51,1603
SBF-D-enum,10,0.25,0.75,1,Optimal,0.0,158.91,2772
SBF-D-enum,10,0.25,0.75,2,Optimal,0.0,25.59,844
SBF-D-enum,10,0.25,0.75,3,Optimal,0.0,17.58,733
SBF-D-enum,10,0.25,0.75,4,Optimal,0.0,39.93,1577
SBF-D-enum,10,1.0,1.0,0,Optimal,0.0,53.77,1903
SBF-D-enum,10,1.0,1.0,1,Optimal,0.0,354.33,4850
SBF-D-enum,10,1.0,1.0,2,Optimal,0.0,63.64,1633
SBF-D-enum,10,1.0,1.0,3,Optimal,0.0,29.55,1193
SBF-D-enum,10,1.0,1.0,4,Optimal,0.0,9.34,645
SBF-D-enum,10,0.8,1.2,0,Optimal,0.0,46.17,1726
SBF-D-enum,10,0.8,1.2,1,Optimal,0.0,350.4,4310
SBF-D-enum,10,0.8,1.2,2,Optimal,0.0,60.51,1410
SBF-D-enum,10,0.8,1.2,3,Optimal,0.0,37.71,1465
SBF-D-enum,10,0.8,1.2,4,Optimal,0.0,8.6,536
SBF-D-enum,10,0.5,1.5,0,Optimal,0.0,68.21,2477
SBF-D-enum,10,0.5,1.5,1,Optimal,0.0,347.35,4182
SBF-D-enum,10,0.5,1.5,2,Optimal,0.0,64.12,1477
SBF-D-enum,10,0.5,1.5,3,Optimal,0.0,39.12,1015
SBF-D-enum,10,0.5,1.5,4,Optimal,0.0,7.32,469
SBF-A,10,0.25,0.25,0,Optimal,0.00356684,1.74,0
SBF-A,10,0.25,0.25,1,Optimal,0.01339284,2.22,0
SBF-A,10,0.25,0.25,2,Optimal,0.00604966,1.81,0
SBF-A,10,0.25,0.25,3,Optimal,0.00792753,1.09,0
SBF-A,10,0.25,0.25,4,Optimal,0.00946473,0.73,0
SBF-A,10,0.2,0.3,0,Optimal,0.00401456,1.42,0
SBF-A,10,0.2,0.3,1,Optimal,0.01391648,1.82,0
SBF-A,10,0.2,0.3,2,Optimal,0.00522974,2.3,0
SBF-A,10,0.2,0.3,3,Optimal,0.00829456,0.9,0
SBF-A,10,0.2,0.3,4,Optimal,0.00962333,1.06,0
SBF-A,10,0.125,0.375,0,Optimal,0.00496289,1.72,0
SBF-A,10,0.125,0.375,1,Optimal,0.01425434,2.36,0
SBF-A,10,0.125,0.375,2,Optimal,0.00373236,1.52,0
SBF-A,10,0.125,0.375,3,Optimal,0.00916662,2.97,0
SBF-A,10,0.125,0.375,4,Optimal,0.01040366,3.05,0
SBF-A,10,0.5,0.5,0,Optimal,0.00750929,3.54,0
